,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130
10,Horst_In_Translation's Review of Casablanca - IMDb, - Noun Phrases : ,casablanca,american black-and-white film,michael curtiz,oscar,big prize,picture,course world war,ii,huge issue,relevant movie,great movie,war movie,europe/africa,military action,holocaust,entire mess,lead actor,humphrey bogart,okay overall,oscar,ingrid bergman,bogart,romance story,right thing,solid moment,paris,real motivation,major feelings,hungarian,oscar,claude rains,oscar,surprising twist,bogart,'s character,great performance,equal sublime,good guy,bogart,'s character,bulgarian,roulette numbers,bad guys,conrad veidt,main antagonist,screen time,really,veidt,young age,great career,hollywood,german actor,peter lorre,spaniard,black hair,luckily,while afterwards,sydney greenstreet,oscar,impressive cast,rains,lebeau,bogart,'s character,bergman,great character,bogart,'s character acts,snowflakes,anyway,overall plot,individual scenes,huge amount,oh,good scene,ugarte/lorre,flashback scenes,paris,epic quotes,paris,black,bogart,'s character,pretty serious movie,lengthy sequence,bulgarian,good guy,bogart,'s character,annina,beautiful woman,bergman,'s character,casablanca,complete nonsense,oh,big spectacular music scene,german traditional music,french anthem,powerful moments,nazis,pretty interesting fashion,film 's soundtrack,oscar,max steiner,oscars,austrian,german-speaking,hitler,okay,watch overall,pretty decent time,great expectations,,,,,,,,,,,,,,,,
11,mark.waltz's Review of Casablanca - IMDb, - Noun Phrases : ,hollywood,movie making,standard propaganda war film,unforgettable blockbuster,york,oscar,mrs. miniver,wide release,l. a.,early 1943.the success,musical score,excellent technical team,angel over-the-shoulder,warner,michael curtiz,humphrey bogart,ingrid bergman.bogart,huge star,huge success,maltese falcon,bergman,successful films,legendary status,conrad veidt,nazi,sydney greenstreet,peter litre,claude rains,ambiguous description,moral conscience,veidt,paul henreid,'s character,bergman,bogart,bogart,chance,long term happiness,henreid.then,comic relief,s. z. sakall,soulful performance,dooley wilson,great support,bogart,great heart,wilson,actor nominee,goes,nazis,viewer stand,good guys,bad guys,film villains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Prismark10's Review of Casablanca - IMDb, - Noun Phrases : ,story consultant,robert mckee,casablanca,perfect screenplay,day film,late 1980s,mckee,casablanca,british television,casablanca,rick,ilsa,meanings.mckee points,prison bars.it shows,soul mates,mundane scene,something.the weird thing,casablanca,casablanca,basic premise,sydney pollack,havana,actors right.i,enjoyment purposes,casablanca,covid,casablanca,exit visas,lisbon,america.as,usa,world war,rick blaine,humphrey bogart,american ex pat,american isolationism,piano player,sam,rick,people 's problems,conduct business,casablanca,europe,notorious,underground resistance leader,victor laszlo,ilsa lund,ingrid bergman,ilsa,rick,paris,local police chief captain,louis renault,claude rains,laszlo,renault,nazi,strasser.the,rick,ilsa,rick,cold heart,usa,world war.apart,shady characters,renault,corrupt police chief,wind blows,own side,bogart,maltese falcon,peter lorre,sydney greenstreet.the,major film studio,mckee,day course,casablanca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,claudio_carvalho's Review of Casablanca - IMDb, - Noun Phrases : ,world war,ii,casablanca,america,influential people,idealistic rebel,rick blaine,humphrey bogart,rick,'s cafe,americain,famous nightclub,morocco,'s town,rick,cynical man,neutral political position,rick,good relationship,renault,claude rains,rick,'s casino,german messengers,valuable letters,nazi major strasser,conrad veidt,casablanca,czechoslovakian,european resistance,victor laszlo,paul henreid,germans,viktor,america,rick,'s acquaintance,ugarte,peter lorre,germans,victor,rick,'s cafe,ilsa lund,ingrid bergman,piano player,sam,dooley wilson,goes,rick,sam,ilsa,romantic moments,paris,ilsa,casablanca,beautiful movie,cinema history,casablanca,ingrid bergman,humphrey bogart,favorite actress,rick,ilsa,rick,'s sacrifice,casablanca,unforgettable masterpiece,romantic film,rick,'s cafe,french costumers,marseillaise,causes goose flesh,french,wonderful romance,magnificent screenplay,witty dialogs,perfect development,geopolitical situation,casablanca,dramatic environment,michael curtiz,white cinematography,casablanca,perfect movie,rick,ilsa,brazil,casablanca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,classicsoncall's Review of Casablanca - IMDb, - Noun Phrases : ,casablanca,favorite movie,perfect film,perfect characters,sam,.it 's,studio days,casablanca,warner,stage play,comes,rick,continuous rewrites,fortunately,gifted artists,'s way,max steiner,paris,flashback scenes,rick,ilsa,romance.now picture,original contenders,dennis morgan,victo laszlo,ann sheridan,ilsa lund,george raft,ronald reagan,rick blaine,warner,ingrid bergman,david selznick,olivia dehaviland,victor laszlo,warner,paul henreid,rko pictures,coming,screen collaboration,maltese falcon,humphrey bogart,rick,peter lorre,ugarte,sydney greenstreet,parrot,rounding,major film credits,conrad veidt,rick,'s world,nazi,general major,strasser,claude rains,prefect,reinault,rick,ilsa,paris,rick,reinault,casablanca.the,ultimate outcome,early film production,may,julius,philip epstein,humorous wit,boulevard,cleverly,strasser,film 's hero,ilsa,rick,.even world events,casablanca,originally,june,warner,war effort,africa,november,casablanca,thanksgiving,york,general release date,january,roosevelt,prime,churchill,casablanca,casablanca,humphrey bogart,'s reputation,ingrid bergman,popular star,successful careers,master work,casablanca,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,lee_eisenberg's Review of Casablanca - IMDb, - Noun Phrases : ,overall,casablanca,certain traits,american expatriate,rick blaine,humphrey bogart,americain,wwii-era casablanca,meeting ex-lover,ilsa,ingrid bergman,film 's strength,rick,alone,ilsa,sam,dooley wilson,rick,ilsa,'s life,paul henreid,ilsa,'s husband,victor laszlo,nazis,capt,renault,claude rains,conrad veidt,peter lorre,sydney greenstreet,great characters,casablanca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,gavin6942's Review of Casablanca - IMDb, - Noun Phrases : ,casablanca,morocco,world war,ii,rock,think,mos eisley cantina,rick,humphrey bogart.it,humphrey bogart,times ...,sixty-odd years,clear period piece,wwii,war film,surely,legendary status,casablanca,opening scene,film history,casablanca,modern film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,jboothmillard's Review of Casablanca - IMDb, - Noun Phrases : ,movies,die,oscar,michael curtiz,robin,mildred pierce,basically,world war,ii,europeans,america,germans,casablanca,morocco,hot spot,rick,cafem,american exile,rick blaine,oscar,humphrey bogart,past lover,ilsa lund,ingrib bergman,ilsa,paris,ugarte,peter lorre,important transit letters,nazi,officer major,strasser,conrad veidt,police captain,renault,claude rains,nazi,czech,underground leader,victor laszlo,paul henreid,husband 's life,rick,ilsa,right people,rick,new friend,sydney greenstreet,signor ferrari,s.z,sakall,carl,madeleine lebeau,yvonne,dooley wilson,sam,bogart,bergman,memorable catchphrases,bad film,classic wartime romantic drama,oscars,writing,screenplay,picture,cinematography,film editing,max steiner,years,quotes,gin joints,paris,sam,'as time,goes,louis,beautiful friendship,goes,years,songs,ingrid bergman,humpherey bogart,greatest movie,bogart,years,men,bergman,years,rick blaine,years,heroes,villains,goes,years,songs,greatest tearjerkers,years,thrills,greatest,films,years,passions,years,cheers,years,movies,greatest films,,,,,,,,,,,,,,,,,,,,,,
18,rmax304823's Review of Casablanca - IMDb, - Noun Phrases : ,loner humphrey bogart,shady saloon,french morocco,nazis,french puppet government,claude raines,bogart,gin joint,old girl friend,ingrid bergman,bergman,idealistic husband,resistance hero,concentration camp escapee,bogart,flashback reveals,paris,germans,premarital intercourse,bergman,bogart,rebuff leaves,rick,'s café,casablanca,bogart,unimpeachable passes,casablanca,bergman,hero husband,ca n't shoot,bogart,scene dissolves,scene fades,illicit interlude,good prevails,bogart,bergman,good.it 's,hollywood,great cast,bogart,bergman,cuddles sakal,claude raines,greenstreet,lorre,maltese falcon,paul henreid,john qualen,leonid kinsky,conrad veidt,fritz lang,caligari,high point,michael curtiz,'s career,seventy years.and,aesthetic apparatus,routine tale,nazis,european resistance,free,bogart,similar roles,cf.,key largo,quotes tag lines,crazy world,louie,beautiful friendship,paris,germans,free,germans,cannon fire,patriotic effort,warner,slapdash quality,bogart,magnetic attraction,irresistible film,tears roll,bergman,'s gorgeous,bogart,rainy train station,paris,colorful desert resorts,casablanca,bogart,claude raines,bogart,bergman,local goat herds,anything,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ccthemovieman-1's Review of Casablanca - IMDb, - Noun Phrases : ,serious consideration,n't top-notch,cinematography first-rate,interesting mix,music ...,film- making,casablanca,favorite film,dvd,bogart,ingrid bergman,claude raines,witty dialog,clever lines,bogart,'s character,wo n't,negative statement,bergman,bogart,well,marriage records,hollywood,anyway,great movie,classic scenes,bergman,soft lens shots,bogey,bogey,paul henreid,sydney greenstreet,peter lorre,fine actors,goes,dooley wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
